Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
2504,2017,Zefo,ECommerce,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"92,00,000"
2505,2017,Yaantra,ECommerce,New Delhi,Carpediem Capital,Private Equity,"31,00,000"
2506,2017,Farm Taaza,Technology,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"80,00,000"
2507,2017,Drivezy,Consumer Internet,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"1,00,00,000"
2508,2017,Slice Pay,Consumer Internet,Bangalore,"Das Capital, Simile Ventures",Private Equity,"20,00,000"
2509,2017,Agrowave,Technology,Gurgaon,Daffodil Software,Seed Funding,NA
2510,2017,MyGubbi,eCommerce,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"27,00,000"
2511,2017,IBSFintech,Technology,Bangalore,Shailesh Haribhakti,Seed Funding,NA
2512,2017,Letsservice,Consumer Internet,Bangalore,Aequs Group,Private Equity,NA
2513,2017,OneStepUp,Technology,New Delhi,Orient BlackSwan,Seed Funding,"3,36,000"
2514,2017,ThirdWatch,Technology,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,NA
2515,2017,Parallel Dots,Technology,Gurgaon,"Multipoint Capital,",Private Equity,"14,00,000"
2516,2017,Easy Diner,Consumer Internet,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,"45,00,000"
2517,2017,Meesho,ECommerce,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"31,00,000"
2518,2017,StanPlus,Logistics,Hyderabad,KStart Capital,Private Equity,"11,00,000"
2519,2017,UCLID,Technology,Hyderabad,Undisclosed investors,Seed Funding,"2,35,000"
2520,2017,Policy Bazaar,Consumer Internet,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,"7,70,00,000"
2521,2017,Gapoon,Consumer Internet,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"2,50,000"
2522,2017,Chaayos,eCommerce,Gurgaon,Tiger Global Management,Private Equity,"20,00,000"
2523,2017,KrazyBee,Consumer Internet,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,"80,00,000"
2524,2017,Renew Buy,Consumer Internet,New Delhi,Amicus Capital,Private Equity,"92,00,000"
2525,2017,Fingerlix,Consumer Internet,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,"70,00,000"
2526,2017,Bank Bazaar,Consumer Internet,Chennai,Experian,Private Equity,"70,00,000"
2527,2017,Hasura,Technology,Chennai,"Nexus, GREE Ventures",Private Equity,NA
2528,2017,BlackBuck,Logistics,Bangalore,Innoven Capital,Private Equity,"77,00,000"
2529,2017,LenDen Club,Consumer Internet,Mumbai,Undisclosed Investor,Seed Funding,"5,00,000"
2530,2017,Toppr,Consumer Internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"70,00,000"
2531,2017,RAW Pressery,Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"60,00,000"
