Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
3516,2020,Gradeup,Education,Noida,"Times Internet, TLabs",NA,"$546,000"
3517,2020,Tracxn,Investment,Bangalore,"Saif partners, Accel partners, Sequoia capital",Series B,"$887,000"
3518,2020,Purple Style Labs,Fashion,Mumbai,"Jitendra Gupta, Astarc Ventures.",NA,"$43,000"
3519,2020,ProPhysio,Health,Bangalore,Nestavera Ventures.,NA,"$40,900"
3520,2020,Flickstree,Tech,Mumbai,"MOX, Venture Catalysts",NA,"$40,900"
3521,2020,Settl,TravelTech,Gurugram,"Sojitz, SIG Global India Fund",NA,Undisclosed
3522,2020,Fanspole,Entertainment,Thane,"Mohan Verma, Better Capital",Pre-Seed,Undisclosed
3523,2020,Sarva,Healthcare,Mumbai,"Shikhar Dhawan, Mantra Capital",NA,Undisclosed
3524,2020,Univ.ai,EdTech,Bangalore,Kiran Mazumdar Shaw.,NA,Undisclosed
3525,2020,PurohitJi,Linguistic Spiritual,Bangalore,Bhadresh,NA,Undisclosed
3526,2020,CredoLab,Tech,Singapore,"GB Group, Walden International",Series A,"$7,000,000"
3527,2020,Brick&Bolt,Construction,Bangalore,"Meghna Agarwal, Navin Dhanuka",Series A,"$2,200,000"
3528,2020,Grinntech,Battery manufacturer,Chennai,"V Sumantran, V Lakshmi Narayanan",NA,"$2,000,000"
3529,2020,6Degree,Fashion,Mumbai,"Keiretsu Forum, SucSEED Venture Partners",NA,"$340,000"
3530,2020,Exprs,Nano Distribution Network,NA,"Sweta Rau, Sandeep Kapoor",NA,"$5,660,000"
3531,2020,Bikayi,E-commerce,Hyderabad,Mantis ventures,Seed round,"$2,000,000"
3532,2020,Virtual Forest,Tech,Bangalore,Napino Auto and Electronics Ltd,NA,Undisclosed
3533,2020,The Health company,AI health,Gurugram,"VCATS, First Cheque, 9Unicorns, Marquee investors",NA,"$350,000"
3534,2020,TrulyMadly Matchmakers,Dating app,Gurugram,"AngelList, Inflection Point Ventures, The Chennai Angels",Pre-series A,"$110,000"
3535,2020,TrueFan,Media,Mumbai,"Mayfield India, Saama Capital, Ronnie Screwvala",Seed Round,"$4,300,000"
3536,2020,Fanspole,Gaming,Mumbai,Better Capital,Pre-seed Round,Undisclosed
3537,2020,Byju's,Edtech,Bangalore,DST Global,NA,"$122,000,000"
3538,2020,Avail Finance,Fintech,Bangalore,"Alphawave, Matrix Partners",Series B,"$11,635,000"
3539,2020,The Money Club,AI,Delhi,Venture Catalysts,NA,Undisclosed
3540,2020,Virohan,Healthcare/Edtech,Gurgaon,"Keiretsu Forum, Elea Foundation",Seed Round & Series A,"$2,800,000"
3541,2020,OneCode,Social Commerce,Gurugram,WaterBridge Ventures,Seed Round,Undisclosed
3542,2020,Verloop.io,AI,NA,Alpha Wave incubation,NA,"$5,000,000"
3543,2020,Otipy,Agritech/Commerce,NA,Inflection Point Ventures,Pre Series A,"$1,000,000"
3544,2020,Evage,Mobility tech,Chandigarh,Anand Shah,NA,Undisclosed
3545,2020,LEAD School,Edtech,Mumbai,"WestBridge Capital, Elevar Equity",Series C,"$28,000,000"
3546,2020,Trell,Social e-commerce,Bangalore,"KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",Series A,"$11,000,000"
3547,2020,Captain Fresh,Food & Logistics,Bangalore,Ankur Capital,Pre Series A,"$2,300,000"
3548,2020,Teachmint,Edtech,Bangalore,Better Capital,NA,Undisclosed
3549,2020,Pixxel,SpaceTech,Bangalore,"Lightspeed India Partners, Blume Ventures, GrowX ventures",Seed Round,"$5,000,000"
3550,2020,Habbit Health,Nutrition Tech,Delhi,"3one4 Capital, Angel list India",Pre seed Round,Undisclosed
3551,2020,SmarterBiz,Tech,Bangalore,"StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",Pre series A,"$1,065,000"
3552,2020,Able Jobs,HR,Bangalore,"SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",NA,"$2,000,000"
3553,2020,Vieroots,Healthtech,Kochi,Suniel Shetty,NA,Undisclosed
3554,2020,Stack Finance,Fintech,Bangalore,"SOSV, MOX (Mobile Only Accelerator)",Seed Round,Undisclosed
3555,2020,FPL Technologies,Fintech,Pune,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",Series A,"$10,000,000"
3556,2020,Masai School,Edtech,Bangalore,"Unitus Ventures, India Quotient, AngelList India",Series A,"$2,500,000"
3557,2020,Mitron,Media,Bangalore,Nexus Venture Partners,Series A,"$5,000,000"
3558,2020,Daalchini,IoT,NA,Artha Venture Fund,Pre series A,"$669,000"
3559,2020,Suno India,Media,NA,Shobu Yarlagadda,Angel Round,Undisclosed
3560,2020,LendingKart,Fintech,Ahmedabad,"Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",Series D,"$16,076,000"
3561,2020,Text Mercato,NA,Bangalore,1Crowd,Series A,"$649,600"
3562,2020,Eden Smart Homes,IoT,NA,Inflection Point Ventures,NA,Undisclosed
3563,2020,GrayQuest,Edtech,Mumbai,Foundation Holdings,Pre series A,"$1,000,000"
3564,2020,BigHaat,Agritech,Bangalore,"Ankur Capital, Beyond Next Ventures",Pre series A,"$2,000,000"
3565,2020,CityCash,Fintech,Mumbai,Orios Venture Partners,Seed Round,"$1,000,000"
3566,2020,HomeLane,Interior design,Chennai,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",Series D,"$1,000,000"
3567,2020,HungerBox,Foodtech,Bangalore,IIFL Income Opportunities Fund,Series C,"$6,700,000"
3568,2020,DaveAI,AI,Bangalore,Mumbai Angels Network,NA,Undisclosed
3569,2020,Eduvanz,Fintech,Mumbai,Sequoia India,Series A,"$5,000,000"
3570,2020,ZipLoan,Fintech,Delhi,Stride Ventures,NA,"$2,000,000"
3571,2020,DocSumo,AI,Mumbai,"Better Capital, TechStars, Barclays.",Seed Round,"$220,000"
3572,2020,CUSMAT,AR/VR,Warangal,"Venture Catalysts,  Raveen Sastry",NA,Undisclosed
3573,2020,Chingari,Media,Bangalore,"AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",Seed Round,"$1,300,000"
3574,2020,Bolo Indya,Media,Gurugram,"Eagle10 Ventures, India Accelerator, HNIs",Pre series A1,"$300,000"
3575,2020,Data Sutram,AI,Kolkata,"Uday Sodhi, Mitesh Shah, Nitin Jain",NA,"$266,500"
3576,2020,Wobot Intelligence,AI,Delhi,Sequoia Capital India,Pre series A,"$2,500,000"
3577,2020,DrinkPrime,Appliance,Bangalore,Sequoia Surge,Pre series A,"$2,879,000"
3578,2020,Infeedo,HR tech,Gurugram,Y Combinator,NA,"$700,000"
3579,2020,Probus Smart Things,IoT,Delhi,Unicorn India Ventures,Seed Round,Undisclosed
3580,2020,CrowdPouch,Tech,Bangalore,Elina Investments,Angel Round,Undisclosed
3581,2020,AgroWave,AgriTech,Gurugram,Sekhar Puli,NA,"$500,000"
3582,2020,Hire Me Car,TravelTech,Noida,US based NRI Investors,Seed,Undisclosed
3583,2020,Oga Fit,Fitness startup,Bangalore,"Inflection Point Ventures, Mitesh Shah",Pre-series A,Undisclosed
3584,2020,ShipsKart,E-commerce,New Delhi,Betatron,Pre-series A,"$200,000"
3585,2020,Sapio Analytics,Tech company,Mumbai,NA,NA,"$150,000"
3586,2020,SquadStack,Tech company,San Francisco,"Chiratae Ventures, Blume Ventures",Series A,"$5,000,000"
3587,2020,Financepeer,EdTech,Mumbai,"Ravi Sanghvi, PitchRight Venture",Pre-series A,"$3,000,000"
3588,2020,Cashify,E-commerce,Gurugram,"Bessemer Venture Partners, CDH Investments",Debt,"$10,000,000"
3589,2020,Taimei,HealthCare,"Jiaxing, Zhejiang, China","Cowin Venture, ZSVC",NA,"$176,000,000"
3590,2020,Etrio,EV startup,Hyderabad,HNIs,Series A,"$3,000,000"
3591,2020,Codeyoung,EdTech,Bangalore,Guild Capital,Seed,Undisclosed
3592,2020,StayQrious,EdTech,Bangalore,Y Combinator,Seed,"$2,000,000"
3593,2020,Sunstone Eduversity,EdTech,Gurugram,Prime Venture Partners,Series A,"$3,000,000"
3594,2020,Infilect,SaaS startup,Bangalore,"Mela Ventures, 1Crowd",Pre-series A,"$1,500,000"
3595,2020,Avanse Financial Services,FinTech,Mumbai,International Finance Corporation,NA,"$15,000,000"
3596,2020,MobiGarage,E-commerce,New Delhi,NA,Pre-series A,Undisclosed
3597,2020,Samunnati,Agriculture,Chennai,"responsAbility, Accel",Debt,"$20,000,000"
3598,2020,WeInnovate Biosolutions,Startup laboratory,Pune,Chiratae ventures,Seed,Undisclosed
3599,2020,Yummy Corp,Food Industry,"Tangerang, Jawa Barat, Indonesia","Palm Drive Capital, Amatil X Ventures",Series B,"$12,000,000"
3600,2020,Industry Buying,E-commerce,New Delhi,"BlackSoil, BEENEXT",NA,"$15,000,000"
3601,2020,Hopscotch,E-commerce,Mumbai,"Marc Lore, Rise Capital",NA,"$25,000,000"
3602,2020,Smallcase,FinTech,Bangalore,"Sequoia Capital India, Blume Ventures",Series B,"$13,400,000"
3603,2020,Pristyn Care,HealthCare,Gurugram,"Sequoia Capital India, Hummingbird Ventures",NA,"$11,000,000"
3604,2020,Clairvolex,Tech Startup,California,"JF Mauritius SPV, IndusAge Partners",Debt,"$2,000,000"
3605,2020,WoodenStreet,Home Design,Rajastan,"IAN Fund, Rajasthan Venture Capital Fund",NA,"$1,000,000"
3606,2020,ACKO,InsureTech,Mumbai,"RPS Ventures, Intact Ventures",NA,"$60,000,000"
3607,2020,Farmers Fresh Zone,AgriTech,Kochi,"Artha India Ventures, Nagaraja Prakasam",NA,"$470,000"
3608,2020,Assiduus,E-commerce,Bangalore,VC Firm K Partners,Series A,"$1,000,000"
3609,2020,Brinton,HealthTech,California,"India Alternatives Private Equity Fund, Tata Capital",Debt,"$1,300,000"
3610,2020,Invento,AI Startup,Bangalore,"Chiripal Group, Ratish Kumar Nair",NA,Undisclosed
3611,2020,Infurnia,Tech Startup,Bangalore,"Pallav Nadhani, Idein Ventures",NA,"$240,000"
3612,2020,AFK Gaming,Entertainment,Mumbai,NA,Pre-series A,"$200,000"
3613,2020,AnalytIQSports's SuperCric,Entertainment,Bangalore,NA,NA,Undisclosed
3614,2020,Snowflake,Tech company,California,"Salesforce Ventures, Dragoneer Investment Group",NA,"$3,000,000,000"
3615,2020,Infarm,AgriTech,Berlin,"Bonnier Ventures, Hanaco Venture Capital",Series C,"$170,000,000"
3616,2020,Zuper,SaaS startup,Seattle,"Gemba Capital, Gunderson Dettmer",Seed,"$1,100,000"
3617,2020,GenieTalk,Tech Company,Indore,NA,NA,"$750,000"
3618,2020,Classplus,EdTech,Noida,"Spiral Ventures, Surge",NA,"$10,000,000"
3619,2020,Mobile Premier League,Entertainment,Bangalore,"Sequoia Capital India, Times Internet",NA,"$74,000,000"
3620,2020,Fourth Partner Energy,Solar solution,Hyderabad,"responsAbility, Grameen Impact India (GIII)",NA,"$16,000,000"
3621,2020,Flipkart,E-commerce,Bangalore,"Tencent Holdings, Walmart",NA,"$62,000,000"
3622,2020,mCaffeine,Personal care startup,Mumbai,"RPSG Ventures, Amicus Capital",Series B,"$2,900,000"
3623,2020,Origa,FinTech,Andheri,"500 Startups, ah! Ventures",Debt,"$2,000,000"
3624,2020,GullyBuy Software,Tech Startup,Pune,NA,Pre-series A,"$543,000"
3625,2020,Recordent,FinTech,Hyderabad,NA,Seed,Undisclosed
3626,2020,MPL,Entertainment,Bangalore,"Base Partners, GO Ventures",Series C,"$90,000,000"
3627,2020,Penny,SaaS startup,Riyadh,NA,Seed,"$1,300,000"
3628,2020,Onsitego,Customer service company,Mumbai,"Accel, Zodius Capital",Series B,"$30,000,000"
3629,2020,Vivriti Capital,FinTech,Chennai,"Aspada, Creation Investments Capital Management, LLC",NA,"$1,000,000"
3630,2020,InsuranceDekho,FinTech,Ludhiana,GirnarSoft,NA,"$20,000,000"
3631,2020,Precily,SaaS  startup,California,"Windrose Capital, Anil Advani",Seed,Undisclosed
3632,2020,BestDoc,HealthCare,Kochi,NA,NA,"$2,100,000"
3633,2020,Byju’s,EdTech,Bangalore,"Owl Ventures, Tiger Global Management",NA,"$500,000,000"
3634,2020,SmartClean,Tech Startup,Singapore,"Seeds Capital, AIM Smart City",Pre- series A,"$3,400,000"
3635,2020,Melorra,Jewellery startup,Bangalore,"Jamshed Jeejeebhoy, Symphony International Holdings",NA,"$12,500,000"
3636,2020,ClanConnect,Marketing startup,Delhi,NA,Seed,"$600,000"
3637,2020,Servify,Service industry,Mumbai,"Blume Ventures, Tetrao",Series c,"$23,000,000"
3638,2020,ShareChat,Social media,Bangalore,"Lightspeed venture partners, saif partners",Pre-series C,"$40,000,000"
3639,2020,Rephrase.ai,AI,Bangalore,"Techstars Bangalore Accelerator, Techstars",Seed,"$1,500,000"
3640,2020,Reliance,Multinational conglomerate company,Mumbai,"Facebook, Google, KKR, Silver Lake",NA,"$2,200,000,000"
3641,2020,Inflexor Ventures,FinTech,Mumbai,NA,NA,"$10,000,000"
3642,2020,Melorra,Jewellery,Bangalore,"Shadows Holdings, Lightbox",Debt,"$8,090,000"
3643,2020,Pandorum,Deeptech startup,Bangalore,"021 Capital, Karnataka Information Technology Venture Capital Fund",NA,"$5,060,000"
3644,2020,FabHotels,Hospitality,Gurugram,"RB Investments Pte. Ltd, Goldman Sachs",Series B,"$1,030,000"
3645,2020,SpeakIn,Social Network,Noida,Homage Ventures.,NA,Undisclosed
3646,2020,LetsUp,Publication,Mumbai,NA,NA,Undisclosed
3647,2020,Newsreach,Publication,Gujarat,Mumbai Angels,NA,Undisclosed
3648,2020,Dream11,Entertainment,Mumbai,"Steadview Capital, Tencent Holdings",NA,"$225,000,000"
3649,2020,EkAnek,Tech Startup,New Delhi,"Lightspeed India Partners, Sequoia Capital India",Edge,"$5,040,000"
3650,2020,SignalX,SaaS platform,Hyderabad,NA,NA,"$750,000"
3651,2020,Cub McPaws,AR startup,Mumbai,Venture Catalysts,Pre-Series A,"$800,000"
3652,2020,Zimyo,HR Tech startup,Gurgaon,"Abhishant Pant, Chiranth Patil",Seed,"$1,500,000"
3653,2020,PumPumPum,Automotive Startup,Gurgaon,NA,Debt,"$360,000"
3654,2020,Burgerama,Food Startup,Gurgaon,"Madison, Anicut",Pre-Series A,Undisclosed
3655,2020,Moms Co,HealthCare,Gurgaon,"DSG Consumer Partners, Saama Capital",Series B,"$8,000,000"
3656,2020,DillyHub,Publication,Seoul,"Kakao Ventures, Shinhan Capital",Seed,"$1,400,000"
3657,2020,JetSynthesys,Tech,Mumbai,"Adar C. Poonawalla, Kris Gopalakrishnan",NA,"$40,000,000"
3658,2020,Vesta Space Technology,Tech startup,Pune,NA,NA,"$10,000,000"
3659,2020,FPL Technologies,FinTech,Pune,"Matrix Partners India, Hummingbird Ventures",Series A,"$10,000,000"
3660,2020,FITTR,Fitness Startup,Pune,Surge,Pre-Series A,"$2,000,000"
3661,2020,Illumnus,EdTech Startup,Pune,23 High Networth Individuals (HNIs).,Seed,"$100,000"
3662,2020,CashKaro,E-commerce,Gurgaon,"Ratan Tata, Kalaari Capital",Series B,"$10,000,000"
3663,2020,Newton School,EdTech Startup,Bangalore,Nexus Venture Partners,Seed,"$650,000"
3664,2020,Airmeet,Tech startup,Bangalore,"Global Founders Capital, Redpoint",Series A,"$12,000,000"
3665,2020,Observe ai,Tech,San Francisco,"01 Advisors, Steadview Capital",Series B,"$54,000,000"
3666,2020,Dozee,HealthTech,Bangalore,NA,NA,"$1,600,000"
3667,2020,InCred,Finance,Mumbai,"Pushpak Credit, Fiscal",Debt,"$5,000,000"
3668,2020,Rebel Foods,Food,Pune,Coatue Management,NA,"$50,000,000"
3669,2020,Toppr,EdTech,Mumbai,"Kaizenvest, Foundation Holdings",Series D,"$35,000,000"
3670,2020,CarTrade,Car Trade,Mumbai,"Pincus, JP Morgan, Temasek, March Capital",Series H,"$42,500,000"
3671,2020,LEAD School,EdtTech,Mumbai,"Westbridge Capital, Elevar Equity",Series C,"$28,000,000"
3672,2020,Nykaa,Fashion,Mumbai,Steadview Capital,NA,"$24,700,000"
3673,2020,Ketto,Finance,Mumbai,"Mumbai Angels, Redcliffe Capital",NA,"$7,700,000"
3674,2020,Servify,Manufacturing,Mumbai,"Blume Ventures, Tetrao",Series C,"$11,370,000"
3675,2020,Lido Learning,EdTech,Mumbai,"BAce Capital, Madhur Deora",Series B,"$7,500,000"
3676,2020,Suryoday,Finance,Mumbai,"Gaja Capital, Kotak Life, Lok Capital",NA,"$800,000"
3677,2020,Apna.co,Job portal,Bangalore,"Lightspeed India, Sequoia Capital India",Series A,"$8,000,000"
3678,2020,SucSEED,Finance,Hyderabad,"DR. Moti Vyas, Udit Goyal",NA,"$1,300,000"
3679,2020,Quintype Technologies,Tech,Bangalore,"IIFL Asset Management, Raghav Bahl",Series A,"$325,000"
3680,2020,Dunzo,Tech,Bangalore,"Wes Schwalje, Alteria Capital",Series E,"$28,000,000"
3681,2020,Unacademy,EdTech,Bangalore,"Nexus Venture Partners, Sequoia Capital",NA,"$150,000,000"
3682,2020,Entropik,AI Platform,Bangalore,"IDFC-Parampara Fund, Bharat Innovation Fund",Series A,"$8,000,000"
3683,2020,Strata,Real Estate,Bangalore,"Propstack, SAIF Partners",NA,"$1,90,67,328"
3684,2020,3one4 Capital,Venture capital,Bangalore,NA,NA,"$100,000,000"
3685,2020,Livspace,Home design,Bangalore,"Mercer Investments, Nicholas Cator",Series D,"$9,000,000"
3686,2020,Ultraviolette Automotive,Automation,Bangalore,TVS Motor Company,Series B,"$410,000"
3687,2020,WinZO,Gaming,New Delhi,"Makers Fund, Courtside Ventures",Series B,"$18,000,000"
3688,2020,SenseHawk,Solar SaaS,Bangalore,"Falcon Edge Capital, SAIF Partners",Series A,"$5,000,000"
3689,2020,Railofy,WL & RAC protection,Mumbai,Chiratae Ventures.,Seed,"$900,000"
3690,2020,WE-Hub,Entreprenurship,Hyderabad,NA,NA,Undisclosed
3691,2020,Zomato,Food devlivery,Haryana,"MacRitchie Investments, Baillie Gifford",NA,"$62,000,000"
3692,2020,Vicara,Tech Startup,Bangalore,NA,NA,Undisclosed
3693,2020,Eloelo,Social commerce,Bangalore,NA,Seed,"$450,000"
3694,2020,Aibono,AgriTech,Bangalore,"Menterra Venture Advisors, Rianta Capital",Pre-Series A,"$2,000,000"
3695,2020,BuildPan,SaaS Startup,Indore,"Sunil Kumar Singhvi, Yusho Kawata",Seed,"$500,000"
3696,2020,Gaana,Entertainment,Gurugram,"Tencent Holdings, Times Internet",NA,"$51,000,000"
3697,2020,Homelane,Home interior services,Bangalore,"Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",Bridge,"$8,000,000"
3698,2020,EM3 Agri,AgriTech,Noida,"Global Innovation Fund, Soros Economic Development Fund",NA,"$1,000,000"
3699,2020,MyGlamm,Fashion,Mumbai,Bessemer Venture Partners,Series B,"$1,000,000"
3700,2020,Aviom,Finance,New Delhi,"Insitor Partners, C4D Partners",Debt,"$682,000"
3701,2020,Plum,Cosmetics,Thane,"Ronald Conway, Bay Partners",NA,"$115,000"
3702,2020,Odwen,Warehouse,Noida,Prospect Partners.,NA,"$54,000"
3703,2020,Fasal,AgriTech,Bangalore,"Omnivore, Zeroth.AI",NA,"$20,000"
3704,2020,Trukky,Logistics,Ahmedabad,Mumbai Angels.,NA,Undisclosed
3705,2020,BankBazaar,Online financial service,Chennai,"Ramesh Srinivasan, Amazon",NA,"$9,000,000"
3706,2020,Flinto,Edtech startup,Chennai,"Sinai Ventures, Y Combinator",Pre-Series B,"$7,000,000"
3707,2020,WayCool,Agritech startup,Chennai,"FMO, IndusInd Bank",Series C,"$5,060,000"
3708,2020,YAP,API platform,Chennai,"Jitendra Gupta, Better Capital",Series A,"$4,050,000"
3709,2020,Specsmakers,Eyeglasses,Chennai,Eight Roads Ventures,NA,"$3,000,000"
3710,2020,Grinntech,Battery design,Dehradun,"Ashok Leyland, V Lakshmi Narayanan",NA,"$2,000,000"
3711,2020,Big Bang Boom Solutions,Deep Tech,Chennai,"Mumbai Angels, Defence Innovation Organisation",Series A,"$1,050,000"
3712,2020,CreditMantri,Online credit management startup,Chennai,"Ranjit Punja, R Sudarshan, Gowri Mukherjee",NA,"$803,146"
3713,2020,GUVI,EdTech startup,Chennai,"CBA Capital, Gray Matters Capital",Series A,"$800,000"
3714,2020,Chai Waale,Beverage,Chennai,"Gunavanth Vaid, Bharat Kumar Sohanraj",NA,"$238,000"
3715,2020,BluSmart,Electricity,Gurugram,"Kalpavriksh, JITO Angel Network",Pre-Series A,"$7,000,000"
3716,2020,Cell Propulsion,Automotive company,Bangalore,"growX ventures, Sangam Ventures",Pre-Series A,Undisclosed
3717,2020,Deepsync,Tech startup,Bangalore,Venkat Raju,NA,"$300,000"
3718,2020,BYJU’S,EdTech,Bangalore,"Owl Ventures, Tiger Global Management",NA,"$500,000,000"
3719,2020,ConnectedH,HealthCare,Gurgaon,NA,NA,Undisclosed
3720,2020,MPL,Entertainment,Bangalore,"Sequoia Capital India, Times Internet",Series B,"$50,000,000"
3721,2020,Spoonshot,FMCG,Bangalore,"SRI Capital, Techstars Farm to Fork Accelerator",Seed A,"$1,000,000"
3722,2020,Reliance Retail,E-commerce,Mumbai,Silver Lake Partners,NA,"$10,220,000"
3723,2020,Pulse,FinTech,Mumbai,NA,Pre-Series A,"$750,000"
3724,2020,Groww,FinTech,Bangalore,"Y Combinator, Ribbit Capital",Series C,"$30,000,000"
3725,2020,QShala,EdTech,Bangalore,NA,NA,"$300,000"
3726,2020,Pitstop,Car Service,Bangalore,"Clairvest Group, Ontario Centres of Excellence",NA,"$1,020,000"
3727,2020,Zomato,Food devlivery,Haryana,"MacRitchie Investments, Baillie Gifford",NA,"$100,000,000"
3728,2020,i3 Systems,Insurance Tech,Mumbai,"Hatanaka Yosuke, Minomiya Takeo",Pre-Series A,"$1,050,000"
3729,2020,SOAL,EdTech,Mumbai,"Krishnan Menon, Srinivas Kollipara",Series A-1,"$1,000,000"
3730,2020,OckyPocky,EdTech,Gurugram,"SucSEED Venture Partners, ah! Ventures",Seed,"$400,000"
3731,2020,Customfit ai,SaaS startup,Bangalore,NA,NA,Undisclosed
3732,2020,Hippo Video,Video personalization,New York,"Surge, Kae Capital",Series A,"$4,000,000"
3733,2020,Hasura,Software Company,San Francisco,"Nexus Venture Partners, Sam Lambert",Series B,"$25,000,000"
3734,2020,Nirmata,Tech,San Franciscao,"Damien Toledo, Jim Bugwadia, Ritesh Patel",NA,Undisclosed
3735,2020,Qapita,FinTech,Singapore,"Alto Partners, Mission Holdings",Seed,"$1,080,000"
3736,2020,Sunday,FinTech,Bangkok,"SCB 10X, LINE Ventures",Pre-Series B,"$9,000,000"
3737,2020,Freshokartz,AgriTech,"Jaipur, Rajastan","Rajasthan Venture Capital Fund, Innovana Thinklabs",Pre-series A,"$1,000,000"
3738,2020,FlexiLoans,FinTech,Mumbai,>Vikram Sud,Debt,"$6,000,000"
3739,2020,Agrix,AgriTech,Patna,Maple Capital Advisors,NA,Undisclosed
3740,2020,BharatAgri,AgriTech,Pune,"021 Capital, India Quotient",Pre-series A,Undisclosed
3741,2020,FreshtoHome,E-commerce,Bangalore,"Ascent Capital, Iron Pillar",Series C,"$121,000,000"
3742,2020,Credable,FinTech,Mumbai,Oaks Asset Management,NA,"$4,500,000"
3743,2020,Railofy,Transportation,Mumbai,"Roots Ventures, Better Capital",Seed,"$5,000,000"
3744,2020,Finova Capital,FinTech,"Jaipur, Rajastan","Sequoia Capital India, Faering Capital",NA,"$55,000,000"
3745,2020,Teachmint,Edtech,Bangalore,Lightspeed India,Seed,"$3,500,000"
3746,2020,Peel-Works,E-commerce,Mumbai,"CESC Ventures, Brun Raschle",NA,"$3,000,000"
3747,2020,Janani,Fertility tech,Bangalore,9Unicorns,Pre-seed,"$200,000"
3748,2020,Credgenics,FinTech,Gurugram,"Accel, Sunder Nookala",Seed,"$3,300,000"
3749,2020,Finelistings,Luxury car startup,New Delhi,Justdial,NA,Undisclosed
3750,2020,Wellversed,Healthcare,New Delhi,"KLUB Works, Shankar Narayanan",Pre-series A,Undisclosed
3751,2020,Nykaa,Cosmetics,Mumbai,"Alia Bhatt, Katrina Kaif",NA,Undisclosed
3752,2020,Jumbotail,E-commerce,Bangalore,Nexus Venture Partners and 23 High Networth Individuals (HNIs),Series B2,"$11,000,000"
3753,2020,Winzo,Gaming startup,New Delhi,"Makers Fund,Courtside Ventures",NA,"$2,000,000"
3754,2020,mCaffeine,Cosmetics,Mumbai,"RPSG Ventures, Amicus Capital",Series B,"$5,000,000"
3755,2020,Pocket FM,FM,Bangalore,"Times Group, Lightspeed",Series A,"$5,000,000"
3756,2020,Snackible,Healthcare,Mumbai,"Mumbai Angels, Murali Nair",Bridge,Undisclosed
3757,2020,FreshtoHome,E-commerce,Bangalore,"Ascent Capital, Iron Pillar",NA,"$16,000,000"
3758,2020,Jumbotail,Retail,Bangalore,"Nexus Venture Partners, Capria Ventures",Series B2,"$11,000,000"
3759,2020,Nykaa,E-commerce,Mumbai,"Katrina Kaif, Steadview Capital",NA,Undisclosed
3760,2020,TagZ Foods,Food,Bangalore,"Exfinity Venture Partners, Shesh Kondi",NA,Undisclosed
3761,2020,Genius Teacher,Edtech,Mumbai,"Sandeep Tandon, Daniel Lapus",NA,"$2,000,000"
3762,2020,Krimanshi Feeds,Nutrition sector,Jodhpur,"Rajasthan Venture Capital Fund, AIM Smart City",NA,"$500,000"
3763,2020,Origo,Agritech,Gurugram,Northern Arc Capital,Debt,"$4,000,000"
3764,2020,GetVantage,FinTech,Mumbai,"Samyakth Capital, Venture Catalysts",Seed,"$5,000,000"
3765,2020,Betterplace,Tech platform,Bangalore,Jungle Ventures,Series B,"$10,000,000"
3766,2020,Biddano,Healthcare,Mumbai,Windrose Capital,Pre-series A,"$600,000"
3767,2020,InVideo,Video,Mumbai,"Base Partners, Sequoia Capital India",Series A,"$15,000,000"
3768,2020,Arzooo,Retail Tech,Bangalore,"3Lines, Jabbar Internet Group",Series A,"$7,500,000"
3769,2020,Hubilo,Tech company,"San Francisco, California, United States","Nishant Rao, Jonathan Boutelle",Seed,"$4,500,000"
3770,2020,BASIC Home Loan,FinTech,Gurugram,Picus Capital,Seed,"$5,000,000"
3771,2020,Ketos,AI startup,"San Francisco, United States","Citi Ventures, Illuminated Funds Group",NA,"$18,000,000"
3772,2020,SUGAR cosmetics,Cosmetics,Mumbai,"A91 Partners, RB Investments Pte. Ltd",Debt,"$2,000,000"
3773,2020,Signzy,FinTech,Bangalore,"GenNext Ventures, Contrarian Drishti Partners",NA,"$5,400,000"
3774,2020,Ahaguru,Edtech,Chennai,Anand Mahindra,Series A,Undisclosed
3775,2020,Tekion,AI startup,"San Ramon, California","Alliance Ventures, Storm Ventures",Series C,"$150,000,000"
3776,2020,Brighteye Ventures,Edtech,"Paris, Ile-de-France, France",Tandem,NA,"$5,400,000"
3777,2020,EzeRx,Medtech,Kolkata,"Indian Oil Corporation, Krishna Chakravarty",Seed,"$200,000"
3778,2020,VitalTech,HeathTech,"Plano, Texas, United States",Tech Mahindra,Seed,"$3,000,000"
3779,2020,Genius Teacher,Edtech,Mumbai,"Whiteboard Capital, VKG Ventures LLP.",NA,"$2,000,000"
3780,2020,Ultraviolette Automotive,Automobiles,Bangalore,TVS Motor Company,Series B,"$4,000,000"
3781,2020,Tring,Social Media,Mumbai,"Sujeet Kumar, Hemesh Singh",NA,NA
3782,2020,Rare Planet,Retail startup,Kolkata,Venture Catalysts,Pre-series A,"$400,000"
